"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"0.1uF_1, 0.1uF_2, 0.1uF_3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"C";;;
2;"5V, DOUT, GND, TP1, TP2, TP3";"TestPoint_Pad_3.0x3.0mm";6;"TestPoint_Square";;;
3;"D1, D2, D3, D4, D5, D6";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";6;"WS2812B";;;
